iter	RMSE
0	20.7150006
1	19.16875026
2	17.48868669
3	15.9728631
4	14.7413247
5	13.6671496
6	12.7940547
7	12.11333256
8	11.53248731
9	11.07927208
10	10.70993763
11	10.29288775
12	10.03691189
13	9.789616615
14	9.564480254
15	9.40592973
16	9.26914572
17	9.084100991
18	8.983086254
19	8.854247037
20	8.759356536
21	8.67021299
22	8.556964741
23	8.488600178
24	8.414328747
25	8.314188922
26	8.211036748
27	8.167916552
28	8.094040822
29	8.048827898
30	7.981089722
31	7.941841911
32	7.848269663
33	7.779288895
34	7.729265861
35	7.65160264
36	7.588797672
37	7.542951018
38	7.504974795
39	7.450461562
40	7.390876333
41	7.309392016
42	7.275410826
43	7.213412722
44	7.168805263
45	7.110422316
46	7.071892464
47	7.023073648
48	6.982648896
49	6.956756111
50	6.916276821
51	6.848099146
