iter	Passed	Remaining
0	98	98400
1	116	58295
2	134	44833
3	155	38701
4	171	34172
5	181	30078
6	201	28613
7	225	28012
8	247	27232
9	267	26515
10	286	25803
11	304	25039
12	322	24500
13	336	23672
14	355	23347
15	374	23018
16	390	22561
17	408	22277
18	423	21867
19	444	21780
20	462	21579
21	482	21469
22	500	21251
23	514	20906
24	529	20655
25	547	20515
26	562	20258
27	582	20217
28	602	20164
29	620	20059
30	638	19944
31	655	19842
32	676	19836
33	695	19762
34	709	19561
35	728	19503
36	749	19494
37	764	19355
38	782	19278
39	796	19119
40	812	19008
41	828	18893
42	844	18795
43	860	18686
44	877	18612
45	890	18461
46	905	18368
47	919	18234
48	938	18216
49	945	17962
50	961	17893
51	979	17865
52	993	17742
53	1010	17700
54	1024	17602
55	1039	17530
56	1051	17402
57	1068	17357
58	1085	17307
59	1100	17237
60	1116	17189
61	1132	17129
62	1148	17087
63	1164	17030
64	1178	16948
65	1196	16935
66	1212	16888
67	1229	16845
68	1244	16788
69	1257	16708
70	1274	16676
71	1285	16566
72	1304	16561
73	1320	16528
74	1335	16468
75	1351	16435
76	1371	16438
77	1383	16348
78	1396	16275
79	1408	16200
80	1420	16121
81	1433	16051
82	1449	16011
83	1466	15991
84	1482	15957
85	1499	15933
86	1511	15862
87	1531	15873
88	1544	15805
89	1555	15724
90	1566	15649
91	1578	15580
92	1594	15551
93	1608	15506
94	1620	15435
95	1637	15420
96	1648	15349
97	1661	15293
98	1674	15243
99	1695	15255
100	1714	15264
101	1734	15274
102	1748	15227
103	1763	15196
104	1781	15181
105	1797	15163
106	1815	15148
107	1827	15094
108	1838	15032
109	1856	15023
110	1872	14996
111	1888	14971
112	1899	14911
113	1914	14878
114	1927	14836
115	1943	14810
116	1959	14791
117	1976	14771
118	1994	14768
119	2011	14751
120	2030	14748
121	2045	14717
122	2060	14690
123	2075	14663
124	2094	14660
125	2110	14638
126	2124	14604
127	2143	14600
128	2154	14548
129	2171	14534
130	2186	14506
131	2202	14483
132	2218	14459
133	2236	14454
134	2255	14448
135	2275	14455
136	2293	14445
137	2309	14428
138	2326	14413
139	2342	14387
140	2357	14365
141	2377	14367
142	2391	14331
143	2404	14296
144	2421	14278
145	2438	14264
146	2451	14227
147	2466	14198
148	2481	14174
149	2498	14158
150	2514	14139
151	2528	14104
152	2545	14089
153	2562	14076
154	2578	14056
155	2592	14025
156	2609	14010
157	2619	13962
158	2636	13943
159	2647	13899
160	2658	13854
161	2672	13824
162	2683	13780
163	2698	13757
164	2713	13731
165	2730	13719
166	2748	13711
167	2762	13683
168	2781	13675
169	2799	13666
170	2816	13655
171	2833	13642
172	2852	13635
173	2870	13624
174	2881	13584
175	2898	13570
176	2909	13526
177	2924	13506
178	2939	13480
179	2956	13470
180	2981	13492
181	2999	13481
182	3016	13466
183	3035	13460
184	3050	13436
185	3063	13404
186	3081	13397
187	3103	13404
188	3120	13391
189	3140	13389
190	3164	13404
191	3186	13408
192	3212	13433
193	3228	13414
194	3248	13411
195	3267	13403
196	3294	13427
197	3313	13421
198	3331	13409
199	3348	13394
200	3365	13377
201	3383	13364
202	3397	13340
203	3408	13300
204	3423	13276
205	3436	13246
206	3453	13228
207	3467	13205
208	3486	13196
209	3505	13188
210	3527	13190
211	3549	13194
212	3569	13188
213	3586	13171
214	3607	13170
215	3629	13173
216	3651	13176
217	3672	13172
218	3686	13145
219	3707	13143
220	3729	13146
221	3751	13148
222	3771	13141
223	3791	13135
224	3813	13135
225	3827	13109
226	3846	13098
227	3868	13097
228	3885	13081
229	3906	13077
230	3926	13069
231	3946	13063
232	3967	13060
233	3988	13054
234	4006	13042
235	4022	13021
236	4039	13006
237	4056	12986
238	4072	12966
239	4082	12929
240	4100	12913
241	4116	12893
242	4130	12868
243	4149	12856
244	4165	12837
245	4185	12829
246	4203	12815
247	4219	12796
248	4239	12786
249	4254	12763
250	4271	12746
251	4287	12725
252	4297	12689
253	4316	12678
254	4337	12673
255	4356	12659
256	4367	12626
257	4382	12604
258	4395	12576
259	4412	12557
260	4428	12538
261	4441	12510
262	4461	12503
263	4475	12475
264	4492	12460
265	4509	12443
266	4526	12427
267	4542	12407
268	4553	12374
269	4568	12350
270	4584	12333
271	4603	12320
272	4618	12299
273	4642	12301
274	4666	12302
275	4689	12301
276	4708	12288
277	4724	12269
278	4742	12256
279	4759	12239
280	4776	12222
281	4791	12200
282	4807	12180
283	4826	12167
284	4839	12140
285	4859	12130
286	4875	12112
287	4893	12099
288	4909	12077
289	4924	12057
290	4941	12040
291	4959	12025
292	4979	12015
293	4990	11984
294	5009	11971
295	5025	11952
296	5044	11940
297	5063	11927
298	5082	11914
299	5098	11896
300	5115	11879
301	5128	11854
302	5146	11837
303	5164	11824
304	5181	11806
305	5196	11785
306	5212	11765
307	5229	11750
308	5245	11729
309	5264	11718
310	5280	11699
311	5297	11681
312	5309	11654
313	5324	11633
314	5341	11615
315	5357	11596
316	5376	11583
317	5395	11570
318	5412	11553
319	5430	11539
320	5449	11526
321	5466	11509
322	5486	11499
323	5500	11475
324	5515	11455
325	5533	11439
326	5549	11421
327	5565	11402
328	5581	11383
329	5596	11362
330	5611	11340
331	5628	11324
332	5643	11304
333	5657	11280
334	5672	11260
335	5691	11247
336	5706	11227
337	5722	11207
338	5738	11189
339	5754	11171
340	5769	11149
341	5786	11133
342	5802	11113
343	5819	11097
344	5836	11081
345	5854	11065
346	5870	11046
347	5885	11027
348	5905	11015
349	5921	10997
350	5939	10981
351	5952	10958
352	5963	10930
353	5975	10904
354	5990	10884
355	6008	10868
356	6023	10849
357	6037	10826
358	6050	10802
359	6066	10785
360	6083	10767
361	6097	10746
362	6115	10730
363	6132	10714
364	6147	10694
365	6165	10680
366	6181	10661
367	6199	10647
368	6219	10634
369	6237	10620
370	6252	10599
371	6266	10578
372	6288	10569
373	6302	10548
374	6324	10540
375	6340	10522
376	6355	10502
377	6373	10487
378	6389	10468
379	6405	10451
380	6427	10442
381	6445	10426
382	6462	10410
383	6481	10397
384	6500	10384
385	6511	10357
386	6527	10339
387	6539	10314
388	6556	10298
389	6575	10284
390	6589	10263
391	6605	10244
392	6624	10231
393	6642	10216
394	6660	10201
395	6674	10179
396	6690	10162
397	6708	10146
398	6723	10127
399	6741	10112
400	6757	10093
401	6769	10070
402	6783	10048
403	6802	10034
404	6814	10010
405	6829	9992
406	6846	9974
407	6861	9955
408	6875	9935
409	6891	9916
410	6910	9903
411	6927	9886
412	6941	9865
413	6960	9852
414	6979	9838
415	6995	9821
416	7011	9802
417	7025	9782
418	7041	9764
419	7055	9743
420	7071	9724
421	7089	9710
422	7105	9692
423	7121	9673
424	7134	9653
425	7151	9635
426	7169	9621
427	7190	9609
428	7206	9591
429	7220	9571
430	7240	9559
431	7258	9543
432	7272	9523
433	7287	9504
434	7305	9489
435	7316	9464
436	7336	9451
437	7350	9431
438	7371	9420
439	7392	9408
440	7414	9398
441	7432	9383
442	7451	9369
443	7467	9350
444	7485	9335
445	7506	9323
446	7523	9307
447	7541	9292
448	7560	9277
449	7579	9263
450	7597	9247
451	7616	9234
452	7633	9216
453	7649	9199
454	7665	9181
455	7685	9168
456	7700	9150
457	7715	9131
458	7734	9116
459	7747	9094
460	7766	9080
461	7784	9065
462	7803	9050
463	7820	9033
464	7840	9021
465	7861	9008
466	7879	8993
467	7892	8971
468	7908	8953
469	7929	8941
470	7950	8929
471	7966	8911
472	7986	8898
473	8004	8882
474	8022	8867
475	8038	8849
476	8052	8829
477	8067	8810
478	8080	8789
479	8102	8777
480	8121	8763
481	8141	8749
482	8158	8732
483	8175	8715
484	8192	8699
485	8210	8683
486	8227	8667
487	8246	8651
488	8263	8635
489	8280	8618
490	8300	8604
491	8316	8587
492	8332	8568
493	8349	8552
494	8364	8533
495	8382	8517
496	8403	8505
497	8415	8482
498	8429	8462
499	8442	8442
500	8459	8425
501	8473	8405
502	8491	8390
503	8504	8369
504	8518	8349
