,,,,,,,,,,,,,,,BN RFI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2
A,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,Q,,,,,,,,,,,
K,,,1,6,19,0,0,0,0,0,0,0,0,,Q,,,47,60,57,0,0,0,0,0,0,0,,J,,,60,60,33,0,0,0,0,0,0
Q,,,,4,17,0,0,0,0,0,0,0,0,,J,,,,60,57,0,0,0,0,0,0,0,,T,,,,60,45,0,0,5,4,2,0
J,,,,,14,7,0,0,0,0,0,0,0,,T,,,,,60,3,0,0,4,3,2,0,,_9,,,,,48,0,0,0,6,4,0
T,,,,,,13,0,0,3,8,7,6,0,,_9,,,,,,0,0,0,0,5,4,0,,_8,,,,,,0,0,0,0,2,0
_9,,,,,,,0,13,23,21,25,24,21,,_8,,,,,,,0,16,24,24,27,26,,_7,,,,,,,13,22,23,23,26
_8,,,,,,,,0,13,20,20,24,20,,_7,,,,,,,,10,21,22,22,25,,_6,,,,,,,,22,23,24,22
_7,,,,,,,,,5,19,20,19,18,,_6,,,,,,,,,21,22,23,21,,_5,,,,,,,,,23,24,23
_6,,,,,,,,,,19,20,21,18,,_5,,,,,,,,,,22,23,22,,_4,,,,,,,,,,22,23
_5,,,,,,,,,,,12,17,23,,_4,,,,,,,,,,,21,22,,_3,,,,,,,,,,,21
_4,,,,,,,,,,,,15,21,,_3,,,,,,,,,,,,20,,_2,,,,,,,,,,,
_3,,,,,,,,,,,,,19,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,T,_9,_8,_7,_6,_5,_4,_3,_2,,,_9,_8,_7,_6,_5,_4,_3,_2,,,_8,_7,_6,_5,_4,_3,_2
J,,,,,,,,,,,,T,,,,,,,,,,,_9,,,,,,,,,,_8,,,,,,,
T,,,60,60,36,30,35,36,38,34,,_9,,,60,60,60,60,60,60,60,,_8,,,60,25,45,35,36,33,,_7,,,0,0,5,0,0
_9,,,,60,38,34,38,44,47,43,,_8,,,,34,19,24,22,27,24,,_7,,,,19,40,37,36,37,,_6,,,,0,21,17,13
_8,,,,,9,3,3,0,8,5,,_7,,,,,15,30,30,30,32,,_6,,,,,44,41,42,40,,_5,,,,,27,24,22
_7,,,,,,16,17,17,16,20,,_6,,,,,,35,35,36,34,,_5,,,,,,42,42,40,,_4,,,,,,24,22
_6,,,,,,,25,26,27,25,,_5,,,,,,,36,38,37,,_4,,,,,,,40,40,,_3,,,,,,,22
_5,,,,,,,,26,27,26,,_4,,,,,,,,35,35,,_3,,,,,,,,38,,_2,,,,,,,
_4,,,,,,,,,25,25,,_3,,,,,,,,,33,,_2,,,,,,,,,,,,,,,,,
_3,,,,,,,,,,23,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_7,_6,_5,_4,_3,_2,,,_6,_5,_4,_3,_2,,,_5,_4,_3,_2,,,_4,_3,_2,,,_3,_2,,,_2,,,,,,,,,
_7,,,,,,,,_6,,,,,,,_5,,,,,,_4,,,,,_3,,,,_2,,,,,,,,,,
_6,,,0,10,18,9,,_5,,,16,21,23,,_4,,,23,24,,_3,,,24,,_2,,,,,,,,,,,,,,
_5,,,,19,24,20,,_4,,,,23,24,,_3,,,,25,,_2,,,,,,,,,,,,,,,,,,,
_4,,,,,25,21,,_3,,,,,25,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_3,,,,,,20,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
