,,,,,,,,,,,,,,,BN RFI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2
A,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,Q,,,,,,,,,,,
K,,,0,0,0,0,0,0,0,0,0,0,0,,Q,,,12,20,23,0,0,0,0,0,0,0,,J,,,20,23,0,0,0,0,0,0,0
Q,,,,0,0,0,0,0,0,0,0,0,0,,J,,,,18,21,0,0,0,0,0,0,0,,T,,,,27,0,0,0,0,0,0,0
J,,,,,0,0,0,0,0,0,0,0,0,,T,,,,,21,0,0,0,0,0,0,0,,_9,,,,,0,0,0,0,0,0,0
T,,,,,,0,0,0,0,0,0,0,0,,_9,,,,,,0,0,0,0,0,0,0,,_8,,,,,,0,0,0,0,0,0
_9,,,,,,,0,0,10,4,16,15,3,,_8,,,,,,,0,0,14,12,22,20,,_7,,,,,,,0,8,12,10,19
_8,,,,,,,,0,0,0,0,13,0,,_7,,,,,,,,0,4,8,6,17,,_6,,,,,,,,8,11,14,7
_7,,,,,,,,,0,0,0,0,0,,_6,,,,,,,,,4,7,11,2,,_5,,,,,,,,,11,14,12
_6,,,,,,,,,,0,0,2,0,,_5,,,,,,,,,,7,11,8,,_4,,,,,,,,,,8,10
_5,,,,,,,,,,,0,0,9,,_4,,,,,,,,,,,4,6,,_3,,,,,,,,,,,3
_4,,,,,,,,,,,,0,2,,_3,,,,,,,,,,,,0,,_2,,,,,,,,,,,
_3,,,,,,,,,,,,,0,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,T,_9,_8,_7,_6,_5,_4,_3,_2,,,_9,_8,_7,_6,_5,_4,_3,_2,,,_8,_7,_6,_5,_4,_3,_2
J,,,,,,,,,,,,T,,,,,,,,,,,_9,,,,,,,,,,_8,,,,,,,
T,,,32,18,0,0,0,0,0,0,,_9,,,26,0,0,0,0,0,0,,_8,,,0,0,0,0,0,0,,_7,,,0,0,0,0,0
_9,,,,12,0,0,0,0,0,0,,_8,,,,0,0,0,0,0,0,,_7,,,,0,5,4,0,4,,_6,,,,0,1,0,0
_8,,,,,0,0,0,0,0,0,,_7,,,,,0,0,0,0,3,,_6,,,,,19,19,19,13,,_5,,,,,23,14,7
_7,,,,,,0,0,0,0,0,,_6,,,,,,18,15,15,10,,_5,,,,,,21,19,15,,_4,,,,,,13,5
_6,,,,,,,13,15,18,12,,_5,,,,,,,20,21,20,,_4,,,,,,,20,21,,_3,,,,,,,9
_5,,,,,,,,15,17,15,,_4,,,,,,,,18,19,,_3,,,,,,,,18,,_2,,,,,,,
_4,,,,,,,,,13,14,,_3,,,,,,,,,16,,_2,,,,,,,,,,,,,,,,,
_3,,,,,,,,,,9,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_7,_6,_5,_4,_3,_2,,,_6,_5,_4,_3,_2,,,_5,_4,_3,_2,,,_4,_3,_2,,,_3,_2,,,_2,,,,,,,,,
_7,,,,,,,,_6,,,,,,,_5,,,,,,_4,,,,,_3,,,,_2,,,,,,,,,,
_6,,,0,0,0,0,,_5,,,0,2,12,,_4,,,10,12,,_3,,,15,,_2,,,,,,,,,,,,,,
_5,,,,0,15,0,,_4,,,,9,14,,_3,,,,17,,_2,,,,,,,,,,,,,,,,,,,
_4,,,,,18,3,,_3,,,,,17,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_3,,,,,,0,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
