,,,,,,,,,,,,,,,HJ RFI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2
A,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,Q,,,,,,,,,,,
K,,,12,12,16,0,0,0,0,0,0,0,0,,Q,,,22,29,18,14,14,14,14,14,14,14,,J,,,39,25,2,17,17,17,17,17,17
Q,,,,19,22,0,0,0,0,0,0,0,0,,J,,,,38,26,14,3,14,14,14,14,14,,T,,,,56,3,8,0,8,8,8,8
J,,,,,29,0,0,0,0,0,0,0,0,,T,,,,,53,4,4,4,4,4,4,4,,_9,,,,,13,8,8,8,8,8,8
T,,,,,,0,0,0,0,0,0,0,0,,_9,,,,,,4,4,4,4,4,4,4,,_8,,,,,,18,18,18,18,18,18
_9,,,,,,,0,23,26,26,26,26,26,,_8,,,,,,,15,22,25,25,25,25,,_7,,,,,,,23,26,26,26,26
_8,,,,,,,,9,18,22,22,22,22,,_7,,,,,,,,22,25,25,25,25,,_6,,,,,,,,26,26,26,26
_7,,,,,,,,,18,22,22,22,22,,_6,,,,,,,,,25,25,25,25,,_5,,,,,,,,,26,26,26
_6,,,,,,,,,,22,22,22,22,,_5,,,,,,,,,,25,25,25,,_4,,,,,,,,,,30,30
_5,,,,,,,,,,,2,2,2,,_4,,,,,,,,,,,25,25,,_3,,,,,,,,,,,35
_4,,,,,,,,,,,,14,14,,_3,,,,,,,,,,,,30,,_2,,,,,,,,,,,
_3,,,,,,,,,,,,,22,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,T,_9,_8,_7,_6,_5,_4,_3,_2,,,_9,_8,_7,_6,_5,_4,_3,_2,,,_8,_7,_6,_5,_4,_3,_2
J,,,,,,,,,,,,T,,,,,,,,,,,_9,,,,,,,,,,_8,,,,,,,
T,,,60,0,0,12,12,12,12,12,,_9,,,0,0,0,0,0,0,0,,_8,,,0,0,0,0,0,0,,_7,,,0,0,0,4,4
_9,,,,9,0,12,3,12,12,12,,_8,,,,0,0,0,0,0,0,,_7,,,,2,17,23,17,23,,_6,,,,0,4,15,4
_8,,,,,13,19,19,19,19,19,,_7,,,,,9,22,22,22,22,,_6,,,,,26,26,26,26,,_5,,,,,20,20,20
_7,,,,,,24,24,24,24,24,,_6,,,,,,25,25,25,25,,_5,,,,,,26,26,26,,_4,,,,,,20,20
_6,,,,,,,27,27,27,27,,_5,,,,,,,25,25,25,,_4,,,,,,,26,26,,_3,,,,,,,20
_5,,,,,,,,30,30,30,,_4,,,,,,,,25,25,,_3,,,,,,,,26,,_2,,,,,,,
_4,,,,,,,,,34,34,,_3,,,,,,,,,25,,_2,,,,,,,,,,,,,,,,,
_3,,,,,,,,,,40,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_7,_6,_5,_4,_3,_2,,,_6,_5,_4,_3,_2,,,_5,_4,_3,_2,,,_4,_3,_2,,,_3,_2,,,_2,,,,,,,,,
_7,,,,,,,,_6,,,,,,,_5,,,,,,_4,,,,,_3,,,,_2,,,,,,,,,,
_6,,,0,0,0,18,,_5,,,9,9,9,,_4,,,12,12,,_3,,,20,,_2,,,,,,,,,,,,,,
_5,,,,14,14,21,,_4,,,,17,17,,_3,,,,18,,_2,,,,,,,,,,,,,,,,,,,
_4,,,,,21,21,,_3,,,,,22,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_3,,,,,,21,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
