,,,,,,,,,,,,,,,BN RFI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2
A,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,Q,,,,,,,,,,,
K,,,49,53,60,47,19,16,17,16,16,16,11,,Q,,,60,60,60,48,42,46,52,55,57,54,,J,,,60,60,60,53,60,60,60,60,60
Q,,,,53,60,45,3,16,17,16,16,16,11,,J,,,,60,60,48,39,46,52,55,57,54,,T,,,,60,60,60,60,60,60,60,60
J,,,,,60,59,14,16,27,27,27,28,24,,T,,,,,60,60,60,60,60,60,60,60,,_9,,,,,60,60,60,60,60,60,60
T,,,,,,60,33,32,39,43,44,45,42,,_9,,,,,,60,60,60,60,60,60,60,,_8,,,,,,43,46,50,51,54,52
_9,,,,,,,39,42,46,48,50,51,49,,_8,,,,,,,34,43,48,48,50,49,,_7,,,,,,,43,48,49,50,49
_8,,,,,,,,17,26,29,29,31,29,,_7,,,,,,,,36,42,43,43,43,,_6,,,,,,,,48,49,50,49
_7,,,,,,,,,22,27,27,27,27,,_6,,,,,,,,,42,43,44,42,,_5,,,,,,,,,49,50,49
_6,,,,,,,,,,27,28,28,27,,_5,,,,,,,,,,43,44,43,,_4,,,,,,,,,,48,47
_5,,,,,,,,,,,25,27,32,,_4,,,,,,,,,,,42,41,,_3,,,,,,,,,,,45
_4,,,,,,,,,,,,26,30,,_3,,,,,,,,,,,,39,,_2,,,,,,,,,,,
_3,,,,,,,,,,,,,29,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,T,_9,_8,_7,_6,_5,_4,_3,_2,,,_9,_8,_7,_6,_5,_4,_3,_2,,,_8,_7,_6,_5,_4,_3,_2
J,,,,,,,,,,,,T,,,,,,,,,,,_9,,,,,,,,,,_8,,,,,,,
T,,,60,60,60,60,60,60,60,60,,_9,,,60,60,60,60,60,60,60,,_8,,,60,60,60,60,60,60,,_7,,,60,30,40,33,32
_9,,,,60,60,60,60,60,60,60,,_8,,,,60,60,60,60,60,60,,_7,,,,60,60,60,60,60,,_6,,,,36,45,40,37
_8,,,,,60,60,60,60,60,60,,_7,,,,,60,60,60,60,60,,_6,,,,,60,60,60,60,,_5,,,,,47,42,40
_7,,,,,,59,60,60,60,60,,_6,,,,,,60,60,60,60,,_5,,,,,,60,60,60,,_4,,,,,,40,39
_6,,,,,,,60,60,60,60,,_5,,,,,,,60,60,60,,_4,,,,,,,60,60,,_3,,,,,,,38
_5,,,,,,,,60,60,60,,_4,,,,,,,,60,60,,_3,,,,,,,,60,,_2,,,,,,,
_4,,,,,,,,,60,60,,_3,,,,,,,,,60,,_2,,,,,,,,,,,,,,,,,
_3,,,,,,,,,,59,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_7,_6,_5,_4,_3,_2,,,_6,_5,_4,_3,_2,,,_5,_4,_3,_2,,,_4,_3,_2,,,_3,_2,,,_2,,,,,,,,,
_7,,,,,,,,_6,,,,,,,_5,,,,,,_4,,,,,_3,,,,_2,,,,,,,,,,
_6,,,29,36,38,31,,_5,,,43,40,44,,_4,,,52,46,,_3,,,53,,_2,,,,,,,,,,,,,,
_5,,,,38,41,34,,_4,,,,44,43,,_3,,,,50,,_2,,,,,,,,,,,,,,,,,,,
_4,,,,,40,33,,_3,,,,,42,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_3,,,,,,32,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
