,,,,,,,,,,,,,,,CO RFI,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,K,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,Q,J,T,_9,_8,_7,_6,_5,_4,_3,_2
A,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,Q,,,,,,,,,,,
K,,,60,60,60,60,50,57,60,60,60,60,60,,Q,,,60,60,60,60,60,60,60,60,60,0,,J,,,60,60,60,60,60,60,60,60,0
Q,,,,60,60,60,48,57,60,60,60,60,60,,J,,,,60,60,60,60,60,60,60,60,0,,T,,,,60,60,60,60,60,60,60,0
J,,,,,60,60,60,60,60,60,60,60,60,,T,,,,,60,60,60,60,60,60,60,0,,_9,,,,,60,60,60,60,60,60,0
T,,,,,,60,60,60,60,60,60,60,60,,_9,,,,,,60,60,60,60,60,60,0,,_8,,,,,,60,60,60,60,60,60
_9,,,,,,,44,52,57,60,60,60,60,,_8,,,,,,,60,60,60,60,60,60,,_7,,,,,,,60,60,60,60,60
_8,,,,,,,,43,48,51,52,55,59,,_7,,,,,,,,60,60,60,60,60,,_6,,,,,,,,60,60,60,60
_7,,,,,,,,,48,51,52,55,59,,_6,,,,,,,,,60,60,60,60,,_5,,,,,,,,,60,60,60
_6,,,,,,,,,,51,52,55,59,,_5,,,,,,,,,,60,60,60,,_4,,,,,,,,,,60,60
_5,,,,,,,,,,,51,55,59,,_4,,,,,,,,,,,60,60,,_3,,,,,,,,,,,60
_4,,,,,,,,,,,,52,56,,_3,,,,,,,,,,,,60,,_2,,,,,,,,,,,
_3,,,,,,,,,,,,,56,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J,T,_9,_8,_7,_6,_5,_4,_3,_2,,,T,_9,_8,_7,_6,_5,_4,_3,_2,,,_9,_8,_7,_6,_5,_4,_3,_2,,,_8,_7,_6,_5,_4,_3,_2
J,,,,,,,,,,,,T,,,,,,,,,,,_9,,,,,,,,,,_8,,,,,,,
T,,,60,60,60,60,60,60,60,0,,_9,,,60,60,60,60,60,60,0,,_8,,,60,57,60,60,60,60,,_7,,,43,45,51,55,60
_9,,,,60,60,60,60,60,60,0,,_8,,,,60,60,60,60,60,60,,_7,,,,58,60,60,60,60,,_6,,,,48,53,56,60
_8,,,,,60,60,60,60,60,60,,_7,,,,,60,60,60,60,60,,_6,,,,,60,60,60,60,,_5,,,,,53,57,60
_7,,,,,,60,60,60,60,60,,_6,,,,,,60,60,60,60,,_5,,,,,,60,60,60,,_4,,,,,,57,60
_6,,,,,,,60,60,60,60,,_5,,,,,,,60,60,60,,_4,,,,,,,60,60,,_3,,,,,,,60
_5,,,,,,,,60,60,60,,_4,,,,,,,,60,60,,_3,,,,,,,,60,,_2,,,,,,,
_4,,,,,,,,,60,60,,_3,,,,,,,,,60,,_2,,,,,,,,,,,,,,,,,
_3,,,,,,,,,,60,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_7,_6,_5,_4,_3,_2,,,_6,_5,_4,_3,_2,,,_5,_4,_3,_2,,,_4,_3,_2,,,_3,_2,,,_2,,,,,,,,,
_7,,,,,,,,_6,,,,,,,_5,,,,,,_4,,,,,_3,,,,_2,,,,,,,,,,
_6,,,56,60,60,60,,_5,,,60,60,60,,_4,,,60,60,,_3,,,60,,_2,,,,,,,,,,,,,,
_5,,,,60,60,60,,_4,,,,60,60,,_3,,,,60,,_2,,,,,,,,,,,,,,,,,,,
_4,,,,,60,60,,_3,,,,,60,,_2,,,,,,,,,,,,,,,,,,,,,,,,,
_3,,,,,,60,,_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
